Timetable generated by Timetable generator, all right reserved (C);Town 1-Town 2-Town 3-Town 4-Town 5-Town 6-Town 7-Town 8-Town 9-Town 10-Town 11-Town 12-Town 13-Town 14-Town 15-Town 16-Town 17-Town 18-Town 19-Town 20-Town 21-Town 22-Town 23-Town 24-Town 25-Town 26-Town 27-Town 28-Town 29-Town 30-Town 31-Town 32-Town 33-Town 34-Town 35-Town 36-Town 37-Town 38-Town 39-Town 40;
1;Town 17;0:17;0:19;
1;Town 33;0:23;0:27;
1;Town 7;0:36;0:38;
1;Town 1;0:45;0:47;
1;Town 33;0:51;0:55;
1;Town 40;1:1;1:6;
1;Town 32;1:13;1:14;
1;Town 40;1:20;1:23;
1;Town 8;1:27;1:32;
1;Town 30;1:36;1:39;
1;Town 4;1:48;1:51;
1;Town 31;1:56;2:1;
1;Town 31;2:11;2:14;
1;Town 11;2:23;2:24;
1;Town 25;2:33;2:37;
1;Town 3;2:42;2:46;
1;Town 23;2:53;2:56;
1;Town 20;3:4;3:5;
1;Town 13;3:14;3:16;
1;Town 4;3:23;3:25;
1;Town 11;3:31;3:33;
1;Town 39;3:43;3:45;
1;Town 21;3:50;3:51;
1;Town 35;4:0;4:1;
1;Town 26;4:8;4:9;
1;Town 25;4:15;4:17;
1;Town 15;4:24;4:27;
1;Town 32;4:37;4:42;
1;Town 23;4:47;4:51;
1;Town 5;4:59;5:4;
1;Town 39;5:11;5:15;
1;Town 13;5:22;5:23;
1;Town 23;5:31;5:34;
1;Town 26;5:39;5:41;
1;Town 32;5:51;5:55;
1;Town 27;6:0;6:5;
1;Town 20;6:12;6:14;
1;Town 23;6:23;6:26;
1;Town 14;6:32;6:36;
1;Town 20;6:43;6:45;
1;Town 8;6:52;6:56;
1;Town 11;7:5;7:9;
1;Town 20;7:18;7:19;
1;Town 2;7:29;7:32;
1;Town 25;7:42;7:46;
1;Town 15;7:54;7:58;
1;Town 23;8:7;8:12;
1;Town 26;8:19;8:23;
1;Town 14;8:30;8:35;
1;Town 36;8:43;8:44;
1;Town 25;8:52;8:54;
1;Town 18;9:4;9:7;
1;Town 8;9:14;9:19;
1;Town 36;9:29;9:34;
1;Town 3;9:40;9:42;
1;Town 16;9:51;9:52;
1;Town 11;9:59;10:0;
1;Town 29;10:12;10:15;
1;Town 4;10:23;10:28;
1;Town 25;10:41;10:43;
1;Town 22;10:50;10:51;
1;Town 25;11:1;11:4;
1;Town 14;11:13;11:14;
1;Town 27;11:24;11:25;
1;Town 24;11:36;11:40;
1;Town 40;11:50;11:53;
1;Town 1;12:6;12:8;
1;Town 37;12:16;12:20;
1;Town 31;12:29;12:32;
1;Town 32;12:41;12:43;
1;Town 30;12:54;12:55;
1;Town 1;13:8;13:9;
1;Town 26;13:21;13:26;
1;Town 5;13:39;13:40;
1;Town 38;13:51;13:55;
1;Town 11;14:2;14:4;
1;Town 23;14:13;14:15;
1;Town 33;14:25;14:26;
1;Town 20;14:40;14:44;
1;Town 1;14:53;14:55;
1;Town 40;15:4;15:9;
1;Town 3;15:23;15:25;
1;Town 6;15:33;15:35;
1;Town 25;15:46;15:47;
1;Town 13;15:55;15:59;
1;Town 23;16:7;16:8;
1;Town 8;16:23;16:27;
1;Town 2;16:42;16:46;
1;Town 36;16:56;16:57;
1;Town 18;17:7;17:8;
